"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"7461","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7462","–","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"7463","Indes","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7464",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"7465","sei","VFIN.Sein.3.Sg.Pres.Subj","VFIN",NA,NA,NA,"3","Sg",NA,"Pres","Subj"
"7466","ruhig","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"7467",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"7468","meine","PRO.Poss.Attr.-.Nom.Sg.Fem","PRO","Poss","Attr","Nom",NA,"Sg","Fem",NA,NA
"7469","Tochter","N.Reg.Nom.Sg.Fem","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"7470","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7471","Nimm","VIMP.Full.2.Sg","VIMP","Full",NA,NA,"2","Sg",NA,NA,NA
"7472","es","PRO.Pers.Subst.3.Acc.Sg.Neut","PRO","Pers","Subst","Acc","3","Sg","Neut",NA,NA
"7473","für","APPR.Acc","APPR",NA,NA,"Acc",NA,NA,NA,NA,NA
"7474","einen","ART.Indef.Acc.Sg.Masc","ART","Indef",NA,"Acc",NA,"Sg","Masc",NA,NA
"7475","Traum","N.Reg.Acc.Sg.Masc","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"7476",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"7477","was","PRO.Rel.Subst.-.Nom.Sg.Neut","PRO","Rel","Subst","Nom",NA,"Sg","Neut",NA,NA
"7478","dir","PRO.Pers.Subst.2.Dat.Sg.*","PRO","Pers","Subst","Dat","2","Sg",NA,NA,NA
"7479","begegnet","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"7480","ist","VFIN.Sein.3.Sg.Pres.Ind","VFIN",NA,NA,NA,"3","Sg",NA,"Pres","Ind"
"7481",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7482","Auch","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7483","wird","VFIN.Aux.3.Sg.Pres.Ind","VFIN","Aux",NA,NA,"3","Sg",NA,"Pres","Ind"
"7484","es","PRO.Pers.Subst.3.Nom.Sg.Neut","PRO","Pers","Subst","Nom","3","Sg","Neut",NA,NA
"7485","noch","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7486","weniger","PRO.Indef.Attr.-.*.*.*","PRO","Indef","Attr",NA,NA,NA,NA,NA,NA
"7487","Folgen","N.Reg.Acc.Pl.Fem","N","Reg",NA,"Acc",NA,"Pl","Fem",NA,NA
"7488","haben","VINF.Haben.-","VINF",NA,NA,NA,NA,NA,NA,NA,NA
"7489",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"7490","als","CONJ.Comp.-","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"7491","ein","ART.Indef.Nom.Sg.Masc","ART","Indef",NA,"Nom",NA,"Sg","Masc",NA,NA
"7492","Traum","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"7493",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7494","Du","PRO.Pers.Subst.2.Nom.Sg.*","PRO","Pers","Subst","Nom","2","Sg",NA,NA,NA
"7495","entgehest","VFIN.Full.2.Sg.Past.Ind","VFIN","Full",NA,NA,"2","Sg",NA,"Past","Ind"
"7496","heute","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7497","mit","APPR.Dat","APPR",NA,NA,"Dat",NA,NA,NA,NA,NA
"7498","eins","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"7499","allen","PRO.Indef.Attr.-.Dat.Pl.Fem","PRO","Indef","Attr","Dat",NA,"Pl","Fem",NA,NA
"7500","Nachstellungen","N.Reg.Dat.Pl.Fem","N","Reg",NA,"Dat",NA,"Pl","Fem",NA,NA
"7501",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7502","Aber","CONJ.Coord.Aber","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"7503","nicht","PART.Neg","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"7504",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"7505","meine","PRO.Poss.Attr.-.Acc.Sg.Fem","PRO","Poss","Attr","Acc",NA,"Sg","Fem",NA,NA
"7506","Mutter","N.Reg.Acc.Sg.Fem","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"7507","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7508","Der","ART.Def.Nom.Sg.Masc","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"7509","Graf","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"7510","muß","VFIN.Mod.3.Sg.Pres.Ind","VFIN","Mod",NA,NA,"3","Sg",NA,"Pres","Ind"
"7511","das","PRO.Dem.Subst.-.Acc.Sg.Neut","PRO","Dem","Subst","Acc",NA,"Sg","Neut",NA,NA
"7512","wissen","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"7513",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7514","Ihm","PRO.Pers.Subst.3.Dat.Sg.Masc","PRO","Pers","Subst","Dat","3","Sg","Masc",NA,NA
"7515","muß","VFIN.Mod.1.Sg.Pres.Ind","VFIN","Mod",NA,NA,"1","Sg",NA,"Pres","Ind"
"7516","ich","PRO.Pers.Subst.1.Nom.Sg.*","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"7517","es","PRO.Pers.Subst.3.Acc.Sg.Neut","PRO","Pers","Subst","Acc","3","Sg","Neut",NA,NA
"7518","sagen","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"7519",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7520","Um","CONJ.SubInf.-","CONJ","SubInf",NA,NA,NA,NA,NA,NA,NA
"7521","alle","PRO.Indef.Attr.-.Acc.Sg.Fem","PRO","Indef","Attr","Acc",NA,"Sg","Fem",NA,NA
"7522","Welt","N.Reg.Acc.Sg.Fem","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"7523","nicht","PART.Neg","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"7524","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7525","–","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"7526","Wozu","PROADV.Inter","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"7527","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7528","warum","PROADV.Inter","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"7529","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7530","Willst","VFIN.Mod.2.Sg.Pres.Ind","VFIN","Mod",NA,NA,"2","Sg",NA,"Pres","Ind"
"7531","du","PRO.Pers.Subst.2.Nom.Sg.*","PRO","Pers","Subst","Nom","2","Sg",NA,NA,NA
"7532","für","APPR.Acc","APPR",NA,NA,"Acc",NA,NA,NA,NA,NA
"7533","nichts","PRO.Indef.Subst.-.*.*.Neut","PRO","Indef","Subst",NA,NA,NA,"Neut",NA,NA
"7534",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
