"participant","itemId","regionId","roiRelPosition","elapsedTime","timeInterval","keyCode","string","setName","groupName","tag1","tag2"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_fixation",NA,48758,366,"KBD:32","X","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_0",NA,49020,262,"KBD:32","Wer","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_1",NA,49251,231,"KBD:32","seinen","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_2",NA,49449,198,"KBD:32","Hund","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_3",NA,49659,210,"KBD:32","liebt,","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_4",NA,49867,208,"KBD:32","der","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_5",NA,50035,168,"KBD:32","vergisst","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_6",NA,50312,277,"KBD:32","ihn.","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_prompt",NA,51596,1284,"KBD:48","Ergibt das Sinn?|ja|nein","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","filler02","filler02_feedback",NA,51981,385,"KBD:32","correct","all","my filler group",NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_fixation",NA,52451,470,"KBD:32","X","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_0",NA,53036,585,"KBD:32","Silas hat andere Interessen als seine Schwester.","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_1",NA,53271,235,"KBD:32"," Die will nichts lieber","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_2",NA,53497,226,"KBD:32"," als im Dreck spielen und damit herumspritzen.","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_3",NA,53721,224,"KBD:32"," Silas hat hingegen andere Freizeitpläne.","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_4",NA,53924,203,"KBD:32"," Sich die Hände schmutzig zu machen,","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_5",NA,54134,210,"KBD:32"," das war noch nie was für ihn.","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_6",NA,54331,197,"KBD:32"," Er schaute lieber die Welt an,","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_7",NA,54542,211,"KBD:32"," als sie anzufassen und malte sie stattdessen.","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_8",NA,54744,202,"KBD:32"," Weil Hermine Silas oft mit Dreck ärgert,","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_9",NA,54964,220,"KBD:32"," hat Silas begonnen,","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_10",NA,55170,206,"KBD:32"," ein großes Bild seiner Schwester zu malen,","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_11",NA,55373,203,"KBD:32"," wie sie mit einem Traktor Gülle in ihrem Zimmer versprüht.","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_12",NA,55599,226,"KBD:32"," Sie liebt es.","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_prompt",NA,56438,839,"KBD:48","Wie fassen Sie ‚sich die Hände schmutzig machen‘ auf?|wörtlich|figürlich","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item53","item53_feedback",NA,56982,544,"KBD:32","okay.","all","LC","RUB","8LC"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","instruction4",NA,NA,58490,1508,"KBD:32","This is the end of the self-paced-reading experiment. che...",NA,NA,NA,NA
"participant","itemId","regionId","roiRelPosition","elapsedTime","timeInterval","keyCode","string","setName","groupName","tag1","tag2"
"Mon Jun 28 2021 09:51:31 GMT+0200 (CEST)","title",NA,NA,3275,3275,"KBD:32","GROUP 1: self paced essai",NA,NA,NA,NA
"Mon Jun 28 2021 09:51:31 GMT+0200 (CEST)","instruction1",NA,NA,3895,620,"KBD:32","testrun 001",NA,NA,NA,NA
"Mon Jun 28 2021 09:51:31 GMT+0200 (CEST)","instruction2",NA,NA,4737,842,"KBD:32","just check time count...",NA,NA,NA,NA
"Mon Jun 28 2021 09:51:31 GMT+0200 (CEST)","practice01","practice01_fixation",NA,5120,383,"KBD:32","X",NA,NA,NA,NA
"Mon Jun 28 2021 09:51:31 GMT+0200 (CEST)","practice01","practice01_0",NA,5783,663,"KBD:32","Hier",NA,NA,NA,NA
"Mon Jun 28 2021 09:51:31 GMT+0200 (CEST)","practice01","practice01_1",NA,6099,316,"KBD:32","könnte",NA,NA,NA,NA
"Mon Jun 28 2021 09:51:31 GMT+0200 (CEST)","practice01","practice01_2",NA,6358,259,"KBD:32","alles",NA,NA,NA,NA
